Manager Name,AMC,Funds Currently Managed,Total AUM Under Management (₹ Cr),Tenure in Fund (yrs),Co-Manager,Previously Managed Funds,Brief Bio,Source URL,Last Verified Date
Lalit Kumar,ICICI Pru,ICICI Pru Multicap Fund(G)|ICICI Pru Midcap Fund(G)|ICICI Pru Commodities Fund-Reg(G)|ICICI Pru Conglomerate Fund-Reg(G),25328.4,3.7|3.7|5.7|4.5,,,,,
Bhavin Vithlani,SBI,SBI Midcap Fund-Reg(G)|SBI Infrastructure Fund-Reg(G),24685.42,1.9|4.2,,,,,
Tejas Sheth,Axis,Axis Small Cap Fund-Reg(G),23918.65,2.6,,,,,
Dharmesh Kakkad,ICICI Pru,ICICI Pru Equity Savings Fund-Reg(G)|ICICI Pru Pharma Healthcare & Diagnostics (P.H.D) Fund-(G),23167.79,11.3|5.9,,,,,
Sachin Relekar,Axis,Axis Flexi Cap Fund-Reg(G)|Axis Focused Fund-Reg(G)|Axis Services Opportunities Fund-Reg(G),22822.38,2.1|2.1|0.8,,,,,
Amit Nadekar,Canara Rob,Canara Rob Large and Mid Cap Fund-Reg(G),22203.19,3.9,,,,,
Bhavesh Jain,Edelweiss,Edelweiss Balanced Advantage Fund-Reg(G)|Edelweiss Aggressive Hybrid Fund-Reg(G)|Edelweiss Multi Asset Allocation Fund-Reg(G)|Edelweiss Business Cycle Fund-Reg(G)|Edelweiss Equity Savings Fund-Reg(G)|Edelweiss Recently Listed IPO Fund-Reg(G),21557.2,12.7|10.5|2.8|2.8|8.6|2.6,,,,,
Anupam Joshi,HDFC,HDFC Hybrid Equity Fund(G),21286.37,3.5,,,,,
Abhishek Singh,DSP,DSP Aggressive Hybrid Fund-Reg(G)|DSP Large Cap Fund-Reg(G)|DSP Equity Savings Fund-Reg(G),21075.6,2.1|2.9|4.9,,,,,
Harish Bihani,Kotak,Kotak Small Cap Fund(G)|Kotak Pioneer Fund-Reg(G)|Kotak Business Cycle Fund-Reg(G),20981.11,1.8|2.6|3.5,,,,,
Ankit Jain,Mirae Asset,Mirae Asset Midcap Fund-Reg(G)|Mirae Asset Multicap Fund-Reg(G),20504.2,5.1|2.2,,,,,
Trideep Bhattacharya,Edelweiss,Edelweiss Mid Cap Fund-Reg(G)|Edelweiss Flexi Cap Fund-Reg(G)|Edelweiss Multi Cap Fund-Reg(G)|Edelweiss Focused Fund-Reg(G)|Edelweiss Financial Services Fund-Reg(G),20487.13,2.5|3.0|2.4|3.6|0.2,,,,,
Ajay Tyagi,UTI,UTI - Flexi Cap Fund-Growth Option,20437.91,10.2,,,,,
Mittul Kalawadia,ICICI Pru,ICICI Pru ELSS Tax Saver Fund(G)|ICICI Pru Dividend Yield Equity Fund(G)|ICICI Pru ESG Exclusionary Strategy Fund(G),19967.6,3.7|3.7|4.0,,,,,
Aditya Khemani,Invesco India,Invesco India Midcap Fund-Reg(G)|Invesco India Large & Mid Cap Fund-Reg(G)|Invesco India Business Cycle Fund-Reg(G),19172.43,2.3|1.5|1.1,,,,,
Cheenu Gupta,HSBC,HSBC Midcap Fund-Reg(G)|HSBC Large & Mid Cap Fund-Reg(G)|HSBC Multi Asset Allocation Fund-Reg(G)|HSBC Equity Savings Fund-Reg(G),18964.92,4.1|3.3|2.2|4.8,,,,,
Daylynn Pinto,Bandhan,Bandhan Value Fund-Reg(G)|Bandhan ELSS Tax Saver Fund-Reg(G)|Bandhan Multi Cap Fund-Reg(G)|Bandhan Transportation and Logistics Fund-Reg(G),18456.48,9.5|9.5|4.3|3.5,,,,,
Dhaval Gala,Aditya Birla SL,Aditya Birla SL Multi Asset Allocation Fund-Reg(G)|Aditya Birla SL PSU Equity Fund-Reg(G)|Aditya Birla SL Banking & Financial Services Fund-Reg(G)|Aditya Birla SL Dividend Yield Fund(G)|Aditya Birla SL Transportation and Logistics Fund-Reg(G)|Aditya Birla SL Special Opp Fund-Reg(G),17973.16,3.2|3.5|10.6|4.0|2.4|1.4,,,,,
Pranav Gokhale,Canara Rob,Canara Rob Small Cap Fund-Reg(G)|Canara Rob Mid Cap Fund-Reg(G)|Canara Rob Manufacturing Fund-Reg(G),16887.86,2.6|1.7|2.0,,,,,
Chandraprakash Padiyar,Tata,Tata Small Cap Fund-Reg(G)|Tata Large & Mid Cap Fund-Reg(G),16660.46,7.4|7.5,,,,,
Amit Premchandani,UTI,UTI Value Fund-Reg(G)|UTI Dividend Yield Fund-Reg(G)|UTI ELSS Tax Saver Fund - Regular Plan - Growth Option|UTI Banking and Financial Services Fund - Regular Plan - Growth Option,16548.07,8.1|3.3|0.8|0.8,,,,,
Kunal Sangoi,Aditya Birla SL,Aditya Birla SL Focused Fund(G)|Aditya Birla SL Value Fund-Reg(G)|Aditya Birla SL Digital India Fund(G),16360.52,4.9|3.5|12.2,,,,,
Rahul Singh (Tata),Tata,Tata Balanced Adv Fund-Reg(G)|Tata Multi Asset Allocation Fund-Reg(G)|Tata Business Cycle Fund-Reg(G),15760.08,7.2|6.1|4.6,,,,,
Ajay Argal,Franklin / Franklin India / Templeton,Franklin India Focused Equity Fund(G)|Franklin Build India Fund(G)|Templeton India Value Fund - Growth Plan,15579.22,2.8|2.4|14.0,,,,,
Harshad Borawake,Mirae Asset,Mirae Asset Aggressive Hybrid Fund-Reg(G)|Mirae Asset Multi Asset Allocation Fund-Reg(G)|Mirae Asset Balanced Advantage Fund-Reg(G)|Mirae Asset Equity Savings Fund-Reg(G),15526.94,6.0|2.2|3.7|6.5,,,,,
Karthikraj Lakshmanan,UTI,UTI Large Cap Fund - Regular Plan - Growth Option|UTI - MNC Fund - Regular Plan - Growth Option|UTI Multi Cap Fund-Reg(G),15331.43,3.6|3.4|0.8,,,,,
Manish Banthia,ICICI Pru,ICICI Pru Business Cycle Fund(G),14359.02,5.2,,,,,
Tanmaya Desai,SBI,SBI MNC FUND - REGULAR PLAN -GROWTH|SBI Automotive Opportunities Fund-Reg(G)|SBI HEALTHCARE OPPORTUNITIES FUND - REGULAR PLAN -GROWTH,14008.89,2.0|2.0|14.8,,,,,
Dhaval Shah,Aditya Birla SL / Aditya Birla Sun Life,Aditya Birla Sun Life ELSS Tax Saver Fund - Growth Option|Aditya Birla SL Pharma & Healthcare Fund-Reg(G),13976.16,1.5|6.7,,,,,
Nimesh Chandan,Bajaj Finserv,Bajaj Finserv Flexi Cap Fund-Reg(G)|Bajaj Finserv Large and Mid Cap Fund-Reg(G)|Bajaj Finserv Small Cap Fund-Reg(G)|Bajaj Finserv Large Cap Fund-Reg(G)|Bajaj Finserv Balanced Advantage Fund-Reg(G)|Bajaj Finserv Multi Cap Fund-Reg(G)|Bajaj Finserv Banking and Financial Services Fund-Reg(G)|Bajaj Finserv Healthcare Fund-Reg(G)|Bajaj Finserv ELSS Tax Saver Fund-Reg(G),13946.18,2.6|2.1|0.7|1.6|2.3|1.1|0.3|1.3|1.2,,,,,
Sanjay Chawla,Baroda BNP Paribas,Baroda BNP Paribas Balanced Advantage Fund-Reg(G)|Baroda BNP Paribas Multi Cap Fund-Reg(G)|Baroda BNP Paribas Large & Mid Cap Fund-Reg(G)|Baroda BNP Paribas Flexi Cap Fund-Reg(G)|Baroda BNP Paribas Small Cap Fund-Reg(G)|Baroda BNP Paribas ELSS Tax Saver Fund-Reg(G)|Baroda BNP Paribas Energy Opportunities Fund-Reg(G)|Baroda BNP Paribas Focused Fund-Reg(G)|Baroda BNP Paribas Health and Wellness Fund-Reg(G)|Baroda BNP Paribas Banking and Fin Serv Fund-Reg(G),13822.69,7.4|2.7|2.0|2.0|6.5|0.8|1.5|1.8|1.5|0.5,,,,,
Rohit Seksaria,Sundaram,Sundaram Services Fund-Reg(G)|Sundaram Multi Asset Allocation Fund-Reg(G)|Sundaram Small Cap Fund(G)|Sundaram Fin Serv Opp Fund(G)|Sundaram Value Fund Regular Plan - Growth|Sundaram Multi-Factor Fund-Reg(G),13705.79,7.5|2.2|3.4|8.3|5.2|0.7,,,,,
Nidhi Chawla,SBI,SBI Dividend Yield Fund-Reg(G)|SBI Equity Savings Fund-Reg(G),13484.64,0.2|10.9,,,,,
Meeta Shetty,Tata,Tata Digital India Fund-Reg(G)|Tata Multicap Fund-Reg(G)|Tata India Innovation Fund-Reg(G),13340.97,5.0|6.0|1.4,,,,,
Vishal Chopda,UTI,UTI Mid Cap Fund-Growth Option|UTI Focused Fund-Reg(G)|UTI India Consumer Fund-Reg(G),13304.72,0.8|3.9|8.1,,,,,
Ennettee Fernandes,Canara Rob,Canara Rob Equity Hybrid Fund-Reg(G)|Canara Rob Consumption Fund-Reg(G)|Canara Rob Balanced Advantage Fund-Reg(G),13063.17,12.5|0.6|1.7,,,,,
Bhavin Gandhi,DSP,DSP Flexi Cap Fund - Regular Plan - Growth|DSP Focused Fund-Reg(G),13020.39,2.1|4.5,,,,,
Srinivasan Ramamurthy,HDFC,HDFC Equity Savings Fund(G)|HDFC Multi-Asset Allocation Fund(G)|HDFC Housing Opp Fund-Reg(G),12217.61,21.6|20.7|5.2,,,,,
V. Srivatsa,UTI,UTI Aggressive Hybrid Fund-Reg(G)|UTI Large & Mid Cap Fund-Reg(G)|UTI Equity Savings Fund-Reg(G),12137.29,16.6|8.8|7.7,,,,,
Meenakshi Dawar,Nippon India,Nippon India Flexi Cap Fund-Reg(G)|Nippon India Aggressive Hybrid Fund(G),11980.71,4.6|7.9,,,,,
Antariksha Banerjee,ICICI Pru,ICICI Pru Banking & Fin Serv Fund(G)|ICICI Pru PSU Equity Fund-Reg(G),11164.98,8.2|2.3,,,,,
Sharma Vivek,PGIM India,PGIM India Midcap Fund-Reg(G)|PGIM India ELSS Tax Saver Fund-Reg(G)|PGIM India Multi Cap Fund-Reg(G)|PGIM India Aggressive Hybrid Equity Fund(G),10878.32,3.7|3.0|1.5|3.0,,,,,
Rohit Shimpi,SBI,SBI PSU Fund-Reg(G)|SBI ESG Exclusionary Strategy Fund - Regular Plan - Growth,10701.68,1.8|4.2,,,,,
Aparna Karnik,DSP,DSP Multi Asset Allocation Fund-Reg(G)|DSP Value Fund-Reg(G)|DSP Quant Fund-Reg(G),10599.52,2.6|2.8|3.9,,,,,
Vishal Gajwani,Aditya Birla SL / Aditya Birla Sun Life,Aditya Birla SL Midcap Fund(G)|Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,10596.4,1.5|1.5,,,,,
Anand Laddha,HDFC,HDFC Value Fund-Reg(G)|HDFC Banking & Financial Services Fund-Reg(G),10457.66,5.9|1.7,,,,,
Shibani Kurian,Kotak,Kotak Contra Fund-Reg(G)|Kotak Focused Fund-Reg(G)|Kotak Banking & Financial Services Fund-Reg(G)|Kotak Technology Fund-Reg(G)|Kotak Dividend Yield Fund-Reg(G),10380.98,6.9|6.7|6.9|1.3|0.2,,,,,
Abhinav Khandelwal,Aditya Birla SL,Aditya Birla SL Multi-Cap Fund-Reg(G)|Aditya Birla SL Small Cap Fund(G),10369.73,4.9|3.4,,,,,
Nitya Mishra,ICICI Pru,ICICI Pru Energy Opportunities Fund-Reg(G)|ICICI Pru FMCG Fund(G),10327.43,3.1|3.8,,,,,
Sonam Udasi,Tata,Tata Value Fund(G)|Tata India Consumer Fund-Reg(G),10169.92,10.0|9.9,,,,,
Venkatesh Sanjeevi,Franklin India,Franklin India Large Cap Fund(G)|Franklin India Large & Mid Cap Fund(G),9956.29,1.5|2.5,,,,,
Vishal Jajoo,Mahindra Manulife,Mahindra Manulife Multi Cap Fund-Reg(G)|Mahindra Manulife Small Cap Fund-Reg(G)|Mahindra Manulife Banking & Financial Services Fund-Reg(G),9854.21,1.5|1.0|2.5,,,,,
Vishal Mishra,CANARA / Canara Rob,CANARA ROBECO ELSS TAX SAVER - REGULAR PLAN - GROWTH OPTION|Canara Rob Value Fund-Reg(G)|Canara Rob Infrastructure Fund-Reg(G),9827.39,6.5|3.6|13.7,,,,,
Satish Chandra Mishra,Tata,Tata Mid Cap Fund-Reg(G)|Tata Aggressive Hybrid Fund-Reg(G)|Tata Resources & Energy Fund-Reg(G),9764.18,5.0|9.0|5.0,,,,,
Abhishek Gupta,HSBC,HSBC Flexi Cap Fund-Reg(G)|HSBC ELSS Tax saver Fund-Reg(G)|HSBC India Export Opportunities Fund-Reg(G),9371.53,2.0|12.5|4.4,,,,,
Rakesh Sethia,HDFC,HDFC Manufacturing Fund-Reg(G),9255.09,1.8,,,,,
Bhavik Dave,Nippon India,Nippon India Balanced Advantage Fund(G),9031.58,5.1,,,,,
Chanchal Khandelwal,Aditya Birla SL,Aditya Birla SL Consumption Fund-Reg(G)|Aditya Birla SL MNC Fund-Reg(G)|Aditya Birla SL ESG Integration Strategy Fund-Reg(G),9029.72,10.6|4.2|1.4,,,,,
Jitendra Sriram,Baroda BNP Paribas,Baroda BNP Paribas Large Cap Fund-Reg(G)|Baroda BNP Paribas Multi Asset Fund-Reg(G)|Baroda BNP Paribas Aggressive Hybrid Fund-Reg(G)|Baroda BNP Paribas Value Fund-Reg(G)|Baroda BNP Paribas Manufacturing Fund-Reg(G)|Baroda BNP Paribas ESG Best-in-class Strategy Fund-Reg(G)|Baroda BNP Paribas Business Conglomerates Fund-Reg(G)|Baroda BNP Paribas Dividend Yield Fund-Reg(G)|Baroda BNP Paribas Business Cycle Fund-Reg(G),8928.3,6.5|3.3|4.1|0.6|4.9|0.1|2.4|4.0|1.5,,,,,
Alok Bahl,Helios,Helios Flexi Cap Fund-Reg(G)|Helios Mid Cap Fund-Reg(G)|Helios Small Cap Fund-Reg(G)|Helios Large & Mid Cap Fund-Reg(G)|Helios Balanced Advantage Fund-Reg(G)|Helios Financial Services Fund-Reg(G),8761.58,5.2|3.7|4.2|8.2|2.1|3.5,,,,,
Vivek Gedda,SBI,SBI Innovative Opportunities Fund-Reg(G)|SBI TECHNOLOGY OPPORTUNITIES FUND - REGULAR PLAN - GROWTH,8530.1,0.6|2.0,,,,,
Dhrumil Shah,Nippon India,Nippon India Value Fund(G)|Nippon India MNC Fund-Reg(G),8371.61,7.8|0.8,,,,,
Sachin Trivedi,UTI,UTI-Transportation and Logistics  Fund-Growth Option|UTI Balanced Advantage Fund-Reg(G)|UTI Infrastructure Fund-Growth Option,8279.29,9.6|2.7|4.6,,,,,
Mayur Patel,360 ONE,360 ONE Focused Fund-Reg(G)|360 ONE Flexicap Fund-Reg(G)|360 ONE Multi Asset Allocation Fund-Reg(G),8221.43,6.4|2.8|0.7,,,,,
Sharwan Kumar Goyal,UTI,UTI Multi Asset Allocation Fund-Reg(G)|UTI Quant Fund-Reg(G),7867.05,4.4|1.2,,,,,
Raj Gandhi,SBI,SBI Energy Opportunities Fund-Reg(G),7804.52,1.9,,,,,
Alok Singh,Bank of India,Bank of India Flexi Cap Fund-Reg(G)|Bank of India Small Cap Fund-Reg(G)|Bank of India Mid & Small Cap Equity & Debt Fund-Reg(G)|Bank of India ELSS Tax Saver-Reg(G)|Bank of India Mid Cap Fund-Reg(G)|Bank of India Business Cycle Fund-Reg(G)|Bank of India Large Cap Fund-Reg(G)|Bank of India Balanced Advantage Fund-Reg(G),7722.61,5.8|0.4|9.2|4.0|3.0|1.6|1.5|4.3,,,,,
Abhinav Sharma,Tata,Tata Ethical Fund-Reg(G)|Tata Large Cap Fund-Reg(G)|Tata Infrastructure Fund-Reg(G),7629.72,4.5|2.9|5.0,,,,,
Rajasa Kakulavarapu,Franklin India,Franklin India Balanced Advantage Fund-Reg(G)|Franklin India Aggressive Hybrid Fund(G)|Franklin India Dividend Yield Fund(G)|Franklin India Equity Savings Fund(G),7599.72,3.6|4.6|1.5|4.6,,,,,
Roshan Chutkey,ICICI Pru,ICICI Pru Manufacturing Fund(G)|ICICI Pru MNC Fund(G)|ICICI Pru Quant Fund(G),7551.05,3.7|3.7|5.3,,,,,
Madanagopal Ramu,Sundaram,Sundaram Large and Mid Cap Fund(G)|Sundaram Business Cycle Fund-Reg(G),7434.54,0.3|1.8,,,,,
Atul Mehra,Motilal Oswal,Motilal Oswal Multi Cap Fund-Reg(G)|Motilal Oswal Business Cycle Fund-Reg(G)|Motilal Oswal Focused Fund-Reg(G)|Motilal Oswal Balanced Advantage Fund-Reg(G)|Motilal Oswal Innovation Opportunities Fund-Reg(G),7424.0,1.8|1.6|3.3|3.4|1.1,,,,,
Dhimant Shah,ITI,ITI Small Cap Fund-Reg(G)|ITI Multi-Cap Fund-Reg(G)|ITI Mid Cap Fund-Reg(G)|ITI Flexi Cap Fund-Reg(G)|ITI Focused Fund-Reg(G)|ITI Bharat Consumption Fund-Reg(G)|ITI Value Fund-Reg(G)|ITI Pharma & Healthcare Fund-Reg(G),7329.91,3.6|3.6|4.4|3.1|2.8|1.1|4.8|4.8,,,,,
Varun Goel,Mirae Asset,Mirae Asset Flexi Cap Fund-Reg(G)|Mirae Asset Small Cap Fund-Reg(G),6781.35,1.9|1.2,,,,,
Gautam Bhupal,HSBC,HSBC Aggressive Hybrid Fund-Reg(G)|HSBC Business Cycles Fund-Reg(G)|HSBC Financial Services Fund-Reg(G),6728.81,9.9|2.8|3.7,,,,,
Harshil Suvarnkar,Aditya Birla SL,Aditya Birla SL Equity Hybrid '95 Fund(G),6592.18,5.1,,,,,
Rahul Modi,Nippon India,Nippon India Power & Infra Fund(G),6533.73,7.8,,,,,
Aishwarya Agarwal,Nippon India,Nippon India Vision Large & Mid Cap Fund(G),6299.19,7.8,,,,,
Satish Ramanathan,JM,JM Flexicap Fund-Reg(G)|JM Midcap Fund-Reg(G)|JM Value Fund-Reg(G),6246.11,4.6|3.4|3.5,,,,,
Nitin Arora,Axis,Axis India Manufacturing Fund-Reg(G)|Axis Value Fund-Reg(G),6017.12,2.3|2.9,,,,,
Anandha Padmanabhan Anjeneyan,PGIM India,PGIM India Flexi Cap Fund-Reg(G)|PGIM India Large Cap Fund(G)|PGIM India Healthcare Fund-Reg(G)|PGIM India Equity Savings Fund(G),5980.15,4.8|2.9|1.2|4.3,,,,,
Dhruv Bhatia,Edelweiss,Edelweiss Small Cap Fund-Reg(G)|Edelweiss Consumption Fund-Reg(G),5544.75,2.8|0.7,,,,,
Chirag Dagli,DSP,DSP Healthcare Fund-Reg(G)|DSP Multicap Fund-Reg(G),5282.35,15.1|2.9,,,,,
Sailesh Jain,Tata,Tata ELSS Fund-Growth-Regular Plan|Tata Dividend Yield Fund-Reg(G),5007.3,4.3|4.8,,,,,
Ashish Naik,Axis,Axis Multi Asset Allocation Fund-Reg(G)|Axis Business Cycles Fund-Reg(G)|Axis Innovation Fund-Reg(G),4970.04,9.8|3.1|5.3,,,,,
Sanjay Bembalkar,Union,Union Flexi Cap Fund-Reg(G)|Union Balanced Advantage Fund-Reg(G)|Union Multi Asset Allocation Fund-Reg(G)|Union Aggressive Hybrid Fund-Reg(G)|Union Equity Savings Fund-Reg(G),4948.67,3.2|8.2|1.6|5.3|7.7,,,,,
Fatema Pacha,Mahindra Manulife,Mahindra Manulife Aggressive Hybrid Fund-Reg(G)|Mahindra Manulife Flexi Cap Fund-Reg(G)|Mahindra Manulife ELSS Tax Saver Fund-Reg(G)|Mahindra Manulife Large Cap Fund-Reg(G),4945.85,6.8|5.4|4.6|1.8,,,,,
Jayesh Sundar,Axis,Axis Balanced Advantage Fund-Reg(G)|Axis Aggressive Hybrid Fund-Reg(G),4934.3,4.2|3.2,,,,,
Anand Sharma,Tata,Tata Flexi Cap Fund-Reg(G)|Tata Focused Fund-Reg(G),4910.73,2.4|1.0,,,,,
Nitin Jain,UTI,UTI Small Cap Fund-Reg(G)|UTI Innovation Fund-Reg(G),4788.17,1.5|1.5,,,,,
Anurag Mittal,UTI,UTI ULIP(G),4761.79,0.0,,,,,
Priyanka Khandelwal,ICICI Pru,ICICI Pru Bharat Consumption Fund-Reg(G)|ICICI Pru Rural Opportunities Fund-Reg(G),4706.76,1.0|1.2,,,,,
Sumanta Khan,Edelweiss,Edelweiss Large & Mid Cap Fund-Reg(G)|Edelweiss Technology Fund-Reg(G),4689.52,2.5|1.8,,,,,
Neelotpal Sahai,HSBC,HSBC Large Cap Fund(G)|HSBC Focused Fund-Reg(G)|HSBC Balanced Advantage Fund-Reg(G),4605.85,12.8|8.7|3.4,,,,,
Sudhanshu Asthana,LIC MF,LIC MF Large & Midcap Fund-Reg(G)|LIC MF Flexi Cap Fund-Reg(G)|LIC MF Balanced Advantage Fund-Reg(G)|LIC MF Banking & Financial Services Fund-Reg(G)|LIC MF Healthcare Fund-Reg(G),4575.25,2.5|2.7|4.4|0.4|5.5,,,,,
Pratish Krishnan,Baroda BNP Paribas,Baroda BNP Paribas Mid Cap Fund-Reg(G)|Baroda BNP Paribas India Consumption Fund-Reg(G)|Baroda BNP Paribas Innovation Fund-Reg(G)|Baroda BNP Paribas Equity Savings Fund-Reg(G),4478.11,7.5|1.5|6.5|6.6,,,,,
Kirti Dalvi,Mahindra Manulife,Mahindra Manulife Mid Cap Fund-Reg(G)|Mahindra Manulife Innovation Opportunities Fund-Reg(G),4256.21,5.5|0.2,,,,,
