Manager Name,AMC,Funds Currently Managed,Total AUM Under Management (₹ Cr),Tenure in Fund (yrs),Co-Manager,Previously Managed Funds,Brief Bio,Source URL,Last Verified Date
Umeshkumar Mehta,Samco,Samco Active Momentum Fund-Reg(G)|Samco Multi Asset Allocation Fund-Reg(G)|Samco Multi Cap Fund-Reg(G)|Samco Dynamic Asset Allocation Fund-Reg(G)|Samco Small Cap Fund-Reg(G)|Samco Large & Mid Cap Fund-Reg(G)|Samco Special Opportunities Fund-Reg(G)|Samco Large Cap Fund-Reg(G)|Samco Mid Cap Fund-Reg(G),1927.45,2.7|1.3|1.5|2.2|0.3|0.8|1.8|1.0|0.2,,,,,
Mahesh Bendre,LIC MF,LIC MF Infra Fund-Reg(G)|LIC MF Manufacturing Fund-Reg(G)|LIC MF Value Fund-Reg(G)|LIC MF Focused Fund-Reg(G),1883.24,5.5|2.7|0.7|2.7,,,,,
Asit Bhandarkar,JM,JM Aggressive Hybrid Fund-Reg(G)|JM Small Cap Fund-Reg(G)|JM Large & Mid Cap Fund-Reg(G)|JM Focused Fund-Reg(G),1829.86,4.3|0.6|0.7|0.7,,,,,
Amit Kadam,Canara Rob,Canara Rob Multi Asset Allocation Fund-Reg(G)|Canara Rob Banking & Financial Services Fund-Reg(G),1712.19,0.9|0.1,,,,,
Manasvi Shah,ICICI Pru,ICICI Pru Active Momentum Fund-Reg(G),1691.07,9.2,,,,,
Siddarth Mohta,Sundaram,Sundaram Infra Advantage Fund(G)|Sundaram Dividend Yield Fund(G),1682.34,0.2|0.2,,,,,
Karthik Kumar,Axis,Axis Momentum Fund-Reg(G)|Axis Quant Fund-Reg(G),1680.52,1.3|2.7,,,,,
Prateek Poddar,Bandhan,Bandhan Aggressive Hybrid Fund-Reg(G),1676.28,4.8,,,,,
Harshad Patwardhan,Union,Union Multicap Fund-Reg(G)|Union Business Cycle Fund-Reg(G),1640.35,1.5|1.4,,,,,
Varun Sharma,Motilal Oswal,Motilal Oswal Consumption Fund-Reg(G)|Motilal Oswal Digital India Fund-Reg(G),1570.13,0.5|1.4,,,,,
Preethi R S,DSP,DSP Banking & Financial Services Fund-Reg(G),1543.06,4.3,,,,,
Priya Ranjan,HDFC,HDFC Transportation and Logistics Fund-Reg(G),1497.28,3.8,,,,,
Anish Goenka,HSBC,HSBC Consumption Fund-Reg(G),1495.79,2.5,,,,,
Alok Ranjan,ITI,ITI Large & Mid Cap Fund-Reg(G)|ITI Large Cap Fund-Reg(G)|ITI ELSS Tax Saver Fund-Reg(G),1457.78,1.5|3.6|3.3,,,,,
Bharat Lahoti,Edelweiss,Edelweiss Large Cap Fund-Reg(G),1321.69,11.8,,,,,
Saravanan V N,Unifi,Unifi Dynamic Asset Allocation Fund-Reg(G)|Unifi Flexi Cap Fund-Reg(G),1315.77,1.1|0.8,,,,,
Amey Sathe,Invesco India,Invesco India Balanced Advantage Fund-Reg(G)|Invesco India Equity Savings Fund-Reg(G),1311.16,1.1|7.1,,,,,
Anuj Bansal,Sundaram,Sundaram Consumption Fund(G),1293.62,0.3,,,,,
Balakumar B,HDFC,HDFC Technology Fund-Reg(G),1264.28,5.3,,,,,
Rajat Srivastava,Tata,Tata India Pharma & Healthcare Fund-Reg(G),1229.42,1.5,,,,,
George Thomas,Quantum,Quantum Value Fund - Regular Plan Growth Option|Quantum ELSS Tax Saver Fund - Regular Plan Growth Option,1211.08,4.0|4.0,,,,,
Clyton Richard Fernandes,Sundaram,Sundaram Equity Savings Fund(G),1070.66,4.2,,,,,
Kamal Gada,UTI,UTI Healthcare Fund - Regular Plan - Growth Option,1055.53,3.9,,,,,
Lovelish Solanki,Aditya Birla SL,Aditya Birla SL Equity Savings Fund-Reg(G),1029.46,5.1,,,,,
Vishal Agarwal,Axis,Axis ESG Integration Strategy Fund-Reg(G),1006.49,2.0,,,,,
Jonas Bhutta,Aditya Birla SL,Aditya Birla SL Infrastructure Fund(G),1000.74,3.5,,,,,
Mandar Pawar,Kotak,Kotak ESG Exclusionary Strategy Fund-Reg(G)|Kotak Energy Opportunities Fund-Reg(G),964.07,2.2|1.0,,,,,
Anuj Kapil,Taurus,Taurus Ethical Fund-Reg(G)|Taurus Flexi Cap Fund-Reg(G)|Taurus Mid Cap Fund-Reg(G)|Taurus ELSS Tax Saver Fund-Reg(G)|Taurus Large Cap Fund-Reg(G)|Taurus Banking & Fin Serv Fund-Reg(G)|Taurus Infrastructure Fund-Reg(G),894.02,3.4|2.8|2.8|2.6|2.8|2.8|2.4,,,,,
Ashish Ongari,360 ONE,360 ONE Quant Fund-Reg(G)|360 ONE ELSS Tax Saver Nifty 50 Index Fund-Reg(G),872.85,1.1|1.1,,,,,
Sushil Budhia,Nippon India,Nippon India Equity Savings Fund(G),850.28,6.2,,,,,
Mayank Hyanki,Axis,Axis Equity Savings Fund-Reg(G),849.73,3.2,,,,,
Anupam Tiwari,Groww,Groww Multicap Fund-Reg(G)|Groww Small Cap Fund-Reg(G)|Groww Largecap Fund-Reg(G)|Groww Value Fund-Reg(G)|Groww Banking & Financial Services Fund-Reg(G),819.81,8.2|0.2|0.5|3.7|5.2,,,,,
Arjun Khanna,Kotak,Kotak Rural Opportunities Fund-Reg(G),759.93,2.5,,,,,
Vinay Paharia,PGIM India,PGIM India Large and Mid Cap Fund(G),708.8,2.1,,,,,
Ashutosh Shirwaikar,Navi,Navi Large & Midcap Fund-Reg(G)|Navi Flexi Cap Fund-Reg(G)|Navi ELSS Tax Saver Nifty 50 Index Fund-Reg(G)|Navi Aggressive Hybrid Fund-Reg(G),701.5,2.6|2.6|2.3|2.7,,,,,
Rishi Sharma,Bandhan,Bandhan Multi-Factor Fund-Reg(G),595.52,0.7,,,,,
Deepak Gupta.,JM,JM Large Cap Fund-Reg(G)|JM ELSS Tax Saver Fund(G),585.38,1.8|4.2,,,,,
Nikhil Kale,Invesco India,Invesco India Manufacturing Fund-Reg(G),583.97,0.3,,,,,
